id,tipo,fase,luna,ubicacion,altitud_msnm,mes,sombra_pct,temp_media,humedad,prec_total_mm,rec1,rec2
ALM-0699,almacigos,vivero_establecimiento,menguante,Patia,1516,noviembre,25,17.5,82.6,60.1,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.","Solución nutritiva 0,05% NPK cada 15 días; evitar 17-6-18 en edades ≤2 meses, solo aplicar este fertilizante en cafetales en fase de producción."
FERT-0478,fertilizacion_sin_analisis,cosecha_postcosecha,menguante,Timbio,1580,marzo,24,18.1,95.0,193.2,Aplicar compost + fuente potásica (K₂O) 200 g/planta para recuperar la fertilidad del suelo tras cosecha.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
ALM-0514,almacigos,vivero_establecimiento,menguante,Morales,1800,enero,60,15.9,77.9,63.3,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
BRO-0976,broca,cosecha_postcosecha,,Almaguer,1372,julio,29,20.0,89.0,115.2,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
ALM-0289,almacigos,vivero_establecimiento,,Piendamo,1829,febrero,43,16.2,95.0,158.1,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
ALM-0321,almacigos,vivero_establecimiento,menguante,Sucre,1229,octubre,17,18.7,95.0,141.7,"Aplicar mezcla Urea:DAP (3:2) equivalente a NPK 20-10-10, 20 g/planta, dos meses después de la siembra, para estimular raíces y hojas verdaderas.",12–15 g/bolsa/mes (fraccionado quincenal) con NPK + Ca/Mg si hay deficiencias.
FERT-0756,fertilizacion_sin_analisis,floracion_llenado,menguante,Bolivar,1478,octubre,28,17.7,95.0,129.7,Agregar cal dolomítica o cal agrícola hasta 150 g/planta/año al menos dos meses antes del trasplante o durante corrección del suelo; no mezclar con fertilizantes.,Interpolar dosis entre hitos; fraccionar cuando la lluvia es alta.
ALM-0487,almacigos,vivero_establecimiento,menguante,Almaguer,1388,junio,21,19.1,94.6,119.8,Uso de Micorrizas arbusculares 10–20 g/bolsa en germinadores y almácigos favorece la absorción de fósforo y otros nutrientes.,Aplicar Fosfato diamónico (DAP) 2 g/bolsa.
BRO-0821,broca,cosecha_postcosecha,,Popayan,1511,febrero,36,18.2,95.0,133.0,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
BRO-0508,broca,cosecha_postcosecha,,Silvia,1840,septiembre,25,15.6,95.0,223.9,Realizar repase completo entre 21–25 días desde el último pase.,Recolectar todos los frutos del suelo y remanentes (cero frutos remanentes).
